local_name,sido
서울시,서울
인천시,인천
부산시,부산
광주광역시,광주
대구시,대구
울산시,울산
대전시,대전
세종시,세종
강원도,강원
경기도,경기
경상남도,경남
경상북도,경북
전라남도,전남
전라북도,전북
충청남도,충남
충청북도,충북
제주도,제주
제주특별자치도,제주
강릉시,강원
거제시,경남
경산시,경북
경주시,경북
계룡시,충남
고양시,경기
공주시,충남
과천시,경기
광명시,경기
광양시,전남
광주시,경기
구리시,경기
구미시,경북
군산시,전북
군포시,경기
김제시,전북
김천시,경북
김포시,경기
김해시,경남
나주시,전남
남양주시,경기
남원시,전북
논산시,충남
당진시,충남
동두천시,경기
동해시,강원
목포시,전남
문경시,경북
밀양시,경남
보령시,충남
부천시,경기
사천시,경남
삼척시,강원
상주시,경북
서귀포시,제주
서산시,충남
성남시,경기
속초시,강원
수원시,경기
순천시,전남
시흥시,경기
아산시,충남
안동시,경북
안산시,경기
안성시,경기
안양시,경기
양산시,경남
양주시,경기
여수시,전남
여주시,경기
영주시,경북
영천시,경북
오산시,경기
용인시,경기
원주시,강원
의왕시,경기
의정부시,경기
이천시,경기
익산시,전북
전주시,전북
정읍시,전북
제주시,제주
제천시,충북
진주시,경남
창원시,경남
천안시,충남
청주시,충북
춘천시,강원
충주시,충북
태백시,강원
통영시,경남
파주시,경기
평택시,경기
포천시,경기
포항시,경북
하남시,경기
화성시,경기
가평군,경기
강진군,전남
강화군,인천
거창군,경남
고령군,경북
고성군,경남
고성군,강원
고창군,전북
고흥군,전남
곡성군,전남
괴산군,충북
구례군,전남
군위군,대구
금산군,충남
기장군,부산
남해군,경남
단양군,충북
달성군,대구
담양군,전남
무안군,전남
무주군,전북
보성군,전남
보은군,충북
봉화군,경북
부안군,전북
부여군,충남
산청군,경남
서천군,충남
성주군,경북
순창군,전북
신안군,전남
양구군,강원
양양군,강원
양평군,경기
연천군,경기
영광군,전남
영덕군,경북
영동군,충북
영양군,경북
영월군,강원
영암군,전남
예산군,충남
예천군,경북
옥천군,충북
옹진군,인천
완도군,전남
완주군,전북
울릉군,경북
울주군,울산
울진군,경북
음성군,충북
의령군,경남
의성군,경북
인제군,강원
임실군,전북
장성군,전남
장수군,전북
장흥군,전남
정선군,강원
증평군,충북
진도군,전남
진안군,전북
진천군,충북
창녕군,경남
철원군,강원
청도군,경북
청송군,경북
청양군,충남
칠곡군,경북
태안군,충남
평창군,강원
하동군,경남
함안군,경남
함양군,경남
함평군,전남
합천군,경남
해남군,전남
홍성군,충남
홍천군,강원
화순군,전남
화천군,강원
횡성군,강원
